CustomerNo,CLASSIFICATION,AMOUNT
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
82191,UTILITY,7255
79470,BILL_PAYMENTS ,5770
82279,OTHERS,1
79528,TELECOM_MOBILE_DTH,565
86006,INSURANCE,3002
